original_dir,p:\myPictures\Dropbox Backup\Camera Uploads
duplicate_dir,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads

files_indexed_dir1,9224
dirs_indexed_dir1,13
index_errors_dir1,0
index_duration_dir1,1820.02

files_indexed_dir2,1346
dirs_indexed_dir2,6
index_errors_dir2,0
index_duration_dir2,475.22

compare_duration,0.00

duplicate_files_found,1343
duplicate_size_bytes,5375686467

original_path,duplicate_path,size_bytes,hash
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-25 13.26.14.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-05-25 13.26.14.jpg,169781,de5539bb7128e83edda720cb627d977ec8bed704c43588043a6941c649e41bf7
p:\myPictures\Dropbox Backup\Camera Uploads\2017\2017-01-28 10.31.41.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2017\2017-01-28 10.31.41.jpg,172401,01f199c90cece695e1704e3aafdc7d2dd069c6e3cfa6f0dc5537d28b66d71dd9
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-11-15 12.40.32-1.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-11-15 12.40.32-1.jpg,173352,b8f1e4b28a665a12e8ad8d45325a58c936c0ad39191c20386506c8877e5702d6
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-08-24 08.34.41.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-08-24 08.34.41.png,174248,fcb7b6c59aa00e6c43d2e6b20a4cd53a24b6f1792cbe69209816bfbd4dde5f91
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-09-17 03.19.42-1.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-09-17 03.19.42-1.jpg,179248,5cc00c3d96ef6c3201d98890add7f3ca4e72b884369c1052fe56adcd49d9edcf
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-07-03 12.47.51.png,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-07-03 12.47.51.png,214929,ecad603ff83fcf8b9410a14e00d8d9af79a9660eccb7510753e44a4bdf2ebf29
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-08-06 22.54.19.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-08-06 22.54.19.jpg,228137,aef3758285f9f8cb1bd1ce680cea42927b5dbc459bb254af14949763716153bd
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-26 12.28.22.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-01-26 12.28.22.jpg,236907,a5d9448883829f9dc600c90d150729c348940740eecdd73b03d1079dbeb159ca
p:\myPictures\Dropbox Backup\Camera Uploads\2016\2016-08-06 22.55.14.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2016\2016-08-06 22.55.14.jpg,244393,dcb493751b68f23b91ff86d704629a8946748910e951dfd9ed5d10dbf4f4e26d
p:\myPictures\Dropbox Backup\Camera Uploads\2013\2013-01-22 02.35.57.jpg,n:\Recovery\myPictures\Dropbox Backup\Camera Uploads\2013\2013-01-22 02.35.57.jpg,251021,4309a331b6223f4869e3f12e53d59f33a79ab9b073f011f0afd79ddeeb223295
